Step	Training Loss	Validation Loss	
100	        1.075200	   1.044429	      100
200	        1.072300	   1.025917	      200
300	        0.949600	   1.024225	      300
400	        0.904400	   1.019900	      400
500	        0.905600	   1.015249	      500


Step: 20 | {'loss': 1.0293, 'grad_norm': 0.3544566333293915, 'learning_rate': 0.00019876543209876543, 'epoch': 0.07990012484394507}
Step: 20 | {'loss': 1.0293, 'grad_norm': 0.3544566333293915, 'learning_rate': 0.00019876543209876543, 'epoch': 0.07990012484394507, 'step': 20}
Step: 40 | {'loss': 1.0447, 'grad_norm': 0.4479309320449829, 'learning_rate': 0.00019053497942386833, 'epoch': 0.15980024968789014}
Step: 40 | {'loss': 1.0447, 'grad_norm': 0.4479309320449829, 'learning_rate': 0.00019053497942386833, 'epoch': 0.15980024968789014, 'step': 40}
Step: 60 | {'loss': 1.0444, 'grad_norm': 0.3878920376300812, 'learning_rate': 0.0001823045267489712, 'epoch': 0.2397003745318352}
Step: 60 | {'loss': 1.0444, 'grad_norm': 0.3878920376300812, 'learning_rate': 0.0001823045267489712, 'epoch': 0.2397003745318352, 'step': 60}
Step: 80 | {'loss': 1.006, 'grad_norm': 0.4619312584400177, 'learning_rate': 0.00017407407407407408, 'epoch': 0.3196004993757803}
Step: 80 | {'loss': 1.006, 'grad_norm': 0.4619312584400177, 'learning_rate': 0.00017407407407407408, 'epoch': 0.3196004993757803, 'step': 80}
Step: 100 | {'loss': 1.0752, 'grad_norm': 0.3190649449825287, 'learning_rate': 0.00016584362139917695, 'epoch': 0.3995006242197253}
Step: 100 | {'loss': 1.0752, 'grad_norm': 0.3190649449825287, 'learning_rate': 0.00016584362139917695, 'epoch': 0.3995006242197253, 'step': 100}
Step: 100 | {'eval_loss': 1.0444291830062866, 'eval_runtime': 13.8699, 'eval_samples_per_second': 3.244, 'eval_steps_per_second': 3.244, 'epoch': 0.3995006242197253}
Step: 100 | {'eval_loss': 1.0444291830062866, 'eval_runtime': 13.8699, 'eval_samples_per_second': 3.244, 'eval_steps_per_second': 3.244, 'epoch': 0.3995006242197253, 'step': 100}
Step: 120 | {'loss': 1.0761, 'grad_norm': 0.3589913249015808, 'learning_rate': 0.00015761316872427985, 'epoch': 0.4794007490636704}
Step: 120 | {'loss': 1.0761, 'grad_norm': 0.3589913249015808, 'learning_rate': 0.00015761316872427985, 'epoch': 0.4794007490636704, 'step': 120}
Step: 140 | {'loss': 1.071, 'grad_norm': 0.35866332054138184, 'learning_rate': 0.00014938271604938272, 'epoch': 0.5593008739076155}
Step: 140 | {'loss': 1.071, 'grad_norm': 0.35866332054138184, 'learning_rate': 0.00014938271604938272, 'epoch': 0.5593008739076155, 'step': 140}
Step: 160 | {'loss': 1.0632, 'grad_norm': 0.33014678955078125, 'learning_rate': 0.0001411522633744856, 'epoch': 0.6392009987515606}
Step: 160 | {'loss': 1.0632, 'grad_norm': 0.33014678955078125, 'learning_rate': 0.0001411522633744856, 'epoch': 0.6392009987515606, 'step': 160}
Step: 180 | {'loss': 1.0904, 'grad_norm': 0.3503771722316742, 'learning_rate': 0.0001329218106995885, 'epoch': 0.7191011235955056}
Step: 180 | {'loss': 1.0904, 'grad_norm': 0.3503771722316742, 'learning_rate': 0.0001329218106995885, 'epoch': 0.7191011235955056, 'step': 180}
Step: 200 | {'loss': 1.0723, 'grad_norm': 0.4494054615497589, 'learning_rate': 0.00012469135802469137, 'epoch': 0.7990012484394506}
Step: 200 | {'loss': 1.0723, 'grad_norm': 0.4494054615497589, 'learning_rate': 0.00012469135802469137, 'epoch': 0.7990012484394506, 'step': 200}
